movie,url,themes,violence,language,drug_use,nudity,sex,consumer_advice
The Hungover Games,https://www.classification.gov.au/titles/hungover-games,strong,moderate,strong,strong,strong,strong,"Strong crude humour, sexual references, nudity, drug use and coarse language"
A Cure For Wellness,https://www.classification.gov.au/titles/cure-for-wellness,strong,strong,moderate,none,moderate,moderate,Strong themes and violence
Airplane Mode,https://www.classification.gov.au/titles/airplane-mode-0,very mild,mild,very mild,none,none,none,Mild violence
Beau Is Afraid,https://www.classification.gov.au/titles/beau-afraid-0,strong,strong,strong,moderate,strong,high,High impact sex
Dicks The Musical,https://www.classification.gov.au/titles/dicks-musical,strong,mild,strong,moderate,moderate,strong,"Strong crude sexual humour, coarse language and sex scenes"
Doctor Sleep,https://www.classification.gov.au/titles/doctor-sleep,strong,strong,moderate,moderate,moderate,mild,Strong horror themes and violence
Echo Valley,https://www.classification.gov.au/titles/echo-valley-0,strong,moderate,strong,moderate,none,very mild,Strong themes and coarse language
Girls Trip,https://www.classification.gov.au/titles/girls-trip,strong,moderate,moderate,moderate,strong,strong,Strong crude sexual humour and coarse language
Hardcore Henry,https://www.classification.gov.au/titles/hardcore-henry,strong,high,strong,moderate,moderate,strong,High impact violence
Hell Fest,https://www.classification.gov.au/titles/hell-fest,strong,strong,moderate,moderate,none,moderate,Strong horror themes and violence
Hellraiser,https://www.classification.gov.au/titles/hellraiser-1,high,high,moderate,moderate,moderate,strong,High impact horror violence
High-Rise,https://www.classification.gov.au/titles/high-rise-2,strong,strong,moderate,moderate,strong,strong,"Strong themes, violence, sex scenes and nudity"
Hot Girls Wanted,https://www.classification.gov.au/titles/hot-girls-wanted,high,none,strong,moderate,strong,high,High impact sexual themes and actual sexual activity
Killer Joe,https://www.classification.gov.au/titles/killer-joe,high,high,moderate,moderate,high,high,"High impact violence, sexual themes and nudity"
Ma,https://www.classification.gov.au/titles/ma-3,strong,strong,strong,moderate,strong,moderate,"Strong themes, violence, coarse language and brief nudity"
Marlowe,https://www.classification.gov.au/titles/marlowe-0,strong,strong,moderate,moderate,none,moderate,Strong violence and injury detail
Nobody's Fool,https://www.classification.gov.au/titles/nobodys-fool,strong,very mild,moderate,moderate,mild,strong,Strong crude sexual humour
Sharp Stick,https://www.classification.gov.au/titles/sharp-stick,strong,none,moderate,moderate,moderate,strong,Strong sexual themes and sex scenes
Slaughterhouse Rulez,https://www.classification.gov.au/titles/slaughterhouse-rulez,strong,strong,strong,moderate,mild,moderate,"Strong horror themes, violence and coarse language"
Small Engine Repair,https://www.classification.gov.au/titles/small-engine-repair,strong,strong,strong,moderate,moderate,moderate,"Strong themes, violence and coarse language"
Super Troopers 2,https://www.classification.gov.au/titles/super-troopers-2,strong,moderate,strong,moderate,strong,strong,"Strong crude sexual humour, nudity and coarse language"
Synchronic,https://www.classification.gov.au/titles/synchronic,strong,strong,moderate,moderate,none,moderate,Strong themes and violence
